Identifier,lat1,lon1,lat2,lon2,distance
1445,40.680145,-73.962570,38.917866,-77.023722,326.750810
1446,51.364247,-0.957189,51.472438,-3.165064,153.569797
1447,44.086488,-71.138650,36.211492,-86.692496,1581.553992
1448,51.499191,-0.022798,51.505060,-0.147532,8.658400
1449,53.253365,-2.524777,36.125504,-115.164238,8157.052193
1450,51.173027,-0.166864,51.505060,-0.147532,36.944783
1451,51.809991,0.147727,51.472438,-3.165064,231.641373
1452,36.243698,-86.623080,36.152607,-86.789270,18.027149
1453,37.971622,-86.739030,36.211492,-86.692496,195.761055
1454,32.325214,-95.294670,29.425932,-98.489310,443.667135
1455,52.643288,1.299004,51.505060,-0.147532,160.594149
1456,50.845992,-0.143063,51.472438,-3.165064,221.938781
1457,51.383280,-3.339874,51.472438,-3.165064,15.657888
1458,42.332099,-71.096510,42.346997,-71.102150,1.720219
1459,34.133513,-118.664640,29.753927,-95.364053,2246.524880
1460,44.129002,-73.052580,45.496030,-73.569478,157.379365
1461,42.343080,-71.092680,42.346997,-71.102150,0.891871
1462,35.963994,-78.936020,36.211492,-86.692496,697.341449
1463,41.987238,-72.563650,49.494083,-119.606796,3681.522232
1464,32.753672,-97.087060,51.038212,-114.051483,2457.910785
1465,41.857303,-72.666540,49.494083,-119.606796,3681.254543
1466,41.857303,-72.666540,51.038212,-114.051483,3281.765793
1467,51.385573,-0.070068,51.505060,-0.147532,14.329945
1468,51.514617,-0.205918,51.505060,-0.147532,4.178041
1469,41.771265,-72.436690,51.038212,-114.051483,3302.971303
1470,32.967341,-96.986560,51.472438,-3.165064,7449.086420
1471,51.540099,-0.076285,51.520184,-0.071013,2.244301
1472,51.968103,-0.849157,52.387201,-1.991667,90.776659
1473,35.758268,-78.717830,35.591435,-82.550915,346.709441
1474,52.824410,-1.630079,51.472438,-3.165064,183.209129
1475,33.363440,-111.750930,36.211492,-86.692496,2303.656897
1476,35.716105,-78.657340,35.591435,-82.550915,352.041756
1477,51.690618,0.112843,51.472438,-3.165064,227.768151
1478,53.502771,-1.179979,51.543051,-0.151324,228.747880
1479,53.418020,-1.310152,51.543051,-0.151324,222.760078
1480,37.244426,-121.832460,51.472438,-3.165064,8492.353676
1481,51.526931,-0.102718,51.505060,-0.147532,3.940876
1482,51.186990,-1.897001,51.472438,-3.165064,93.645005
1483,52.995138,-0.430653,51.472438,-3.165064,251.649502
1484,52.882612,-1.444128,53.469422,-2.221964,83.335181
1485,51.554504,-0.084001,51.595989,-0.136335,5.861647
1486,37.766529,-122.395770,38.347174,-122.695370,69.689892
1487,55.845382,-4.129225,36.171909,-115.139969,7892.485320
1488,29.589831,-95.222510,29.753927,-95.364053,22.802369
1489,38.211511,-85.216580,36.152607,-86.789270,267.990819
1490,51.583317,0.066434,51.505060,-0.147532,17.165582
1491,45.498940,-122.687810,41.886456,-87.623250,2824.782169
1492,38.344010,-121.953330,38.347174,-122.695370,64.712818
1493,41.386584,-73.079200,36.152607,-86.789270,1321.343156
1494,51.594874,0.607724,51.505060,-0.147532,53.167988
1495,51.504021,-0.082978,51.505060,-0.147532,4.469517
1496,42.047178,-87.890580,41.949847,-87.658800,21.999570
1497,51.817108,-0.041513,51.472438,-3.165064,218.889239
1498,39.288558,-84.473830,41.886456,-87.623250,392.592232
1499,51.613222,0.007098,51.505060,-0.147532,16.090997
1500,34.208837,-118.873480,36.211492,-86.692496,2918.775564
1501,40.270926,-82.845010,36.152607,-86.789270,572.970475
1502,51.538204,-0.197017,51.520184,-0.071013,8.943796
1503,52.156318,-0.713085,51.472438,-3.165064,184.901091
1504,52.636622,-1.665000,51.472438,-3.165064,165.151719
1505,38.737493,-77.245535,51.472438,-3.165064,5724.219808
1506,36.166956,-86.668690,36.152607,-86.789270,10.942138
1507,41.017522,-81.616160,36.152607,-86.789270,703.137576
1508,51.528414,-0.074919,51.520184,-0.071013,0.954220
1509,28.561242,-81.107350,36.152607,-86.789270,998.194105
1510,51.477800,-0.643580,51.472438,-3.165064,174.625982
1511,38.243734,-122.693450,38.347174,-122.695370,11.503224
1512,28.493531,-81.326090,28.556902,-81.347115,7.339791
1513,25.559785,-80.416640,26.010410,-80.160080,56.307965
1514,37.758380,-122.484780,37.792778,-122.421880,6.722485
1515,40.700423,-80.113740,36.152607,-86.789270,770.207843
1516,51.520385,-3.172781,51.472438,-3.165064,5.358152
1517,51.486898,0.055647,51.505060,-0.147532,14.209682
1518,55.935430,-3.141269,51.472438,-3.165064,496.264559
1519,34.276154,-118.545810,36.125504,-115.164238,369.679441
1520,33.745739,-84.376400,36.171909,-115.139969,2804.749990
1521,50.806563,-3.660880,51.472438,-3.165064,81.723256
1522,51.513646,-0.118143,51.505060,-0.147532,2.246815
1523,51.514409,-0.059006,51.505060,-0.147532,6.214063
1524,37.549396,-77.457390,38.932185,-77.266278,154.662196
1525,44.602234,-93.229160,36.152607,-86.789270,1085.587425
1526,50.990228,-1.471754,51.549045,-0.141048,111.494152
